Bit Position,Bit description,Bit Type
155,>= 2 unsaturated non-aromatic nitrogen-containing ring size 5,Rings in a Canonic Extended Smallest Set of Rings
156,>= 2 unsaturated non-aromatic heteroatom-containing ring size 5,Rings in a Canonic Extended Smallest Set of Rings
157,>= 3 any ring size 5,Rings in a Canonic Extended Smallest Set of Rings
158,>= 3 saturated or aromatic carbon-only ring size 5,Rings in a Canonic Extended Smallest Set of Rings
159,>= 3 saturated or aromatic nitrogen-containing ring size 5,Rings in a Canonic Extended Smallest Set of Rings
160,>= 3 saturated or aromatic heteroatom-containing ring size 5,Rings in a Canonic Extended Smallest Set of Rings
161,>= 3 unsaturated non-aromatic carbon-only ring size 5,Rings in a Canonic Extended Smallest Set of Rings
162,>= 3 unsaturated non-aromatic nitrogen-containing ring size 5,Rings in a Canonic Extended Smallest Set of Rings
163,>= 3 unsaturated non-aromatic heteroatom-containing ring size 5,Rings in a Canonic Extended Smallest Set of Rings
164,>= 4 any ring size 5,Rings in a Canonic Extended Smallest Set of Rings
165,>= 4 saturated or aromatic carbon-only ring size 5,Rings in a Canonic Extended Smallest Set of Rings
166,>= 4 saturated or aromatic nitrogen-containing ring size 5,Rings in a Canonic Extended Smallest Set of Rings
167,>= 4 saturated or aromatic heteroatom-containing ring size 5,Rings in a Canonic Extended Smallest Set of Rings
168,>= 4 unsaturated non-aromatic carbon-only ring size 5,Rings in a Canonic Extended Smallest Set of Rings
169,>= 4 unsaturated non-aromatic nitrogen-containing ring size 5,Rings in a Canonic Extended Smallest Set of Rings
170,>= 4 unsaturated non-aromatic heteroatom-containing ring size 5,Rings in a Canonic Extended Smallest Set of Rings
171,>= 5 any ring size 5,Rings in a Canonic Extended Smallest Set of Rings
172,>= 5 saturated or aromatic carbon-only ring size 5,Rings in a Canonic Extended Smallest Set of Rings
173,>= 5 saturated or aromatic nitrogen-containing ring size 5,Rings in a Canonic Extended Smallest Set of Rings
174,>= 5 saturated or aromatic heteroatom-containing ring size 5,Rings in a Canonic Extended Smallest Set of Rings
175,>= 5 unsaturated non-aromatic carbon-only ring size 5,Rings in a Canonic Extended Smallest Set of Rings
176,>= 5 unsaturated non-aromatic nitrogen-containing ring size 5,Rings in a Canonic Extended Smallest Set of Rings
177,>= 5 unsaturated non-aromatic heteroatom-containing ring size 5,Rings in a Canonic Extended Smallest Set of Rings
178,>= 1 any ring size 6,Rings in a Canonic Extended Smallest Set of Rings
179,>= 1 saturated or aromatic carbon-only ring size 6,Rings in a Canonic Extended Smallest Set of Rings
180,>= 1 saturated or aromatic nitrogen-containing ring size 6,Rings in a Canonic Extended Smallest Set of Rings
181,>= 1 saturated or aromatic heteroatom-containing ring size 6,Rings in a Canonic Extended Smallest Set of Rings
182,>= 1 unsaturated non-aromatic carbon-only ring size 6,Rings in a Canonic Extended Smallest Set of Rings
183,>= 1 unsaturated non-aromatic nitrogen-containing ring size 6,Rings in a Canonic Extended Smallest Set of Rings
184,>= 1 unsaturated non-aromatic heteroatom-containing ring size 6,Rings in a Canonic Extended Smallest Set of Rings
185,>= 2 any ring size 6,Rings in a Canonic Extended Smallest Set of Rings
186,>= 2 saturated or aromatic carbon-only ring size 6,Rings in a Canonic Extended Smallest Set of Rings
187,>= 2 saturated or aromatic nitrogen-containing ring size 6,Rings in a Canonic Extended Smallest Set of Rings
188,>= 2 saturated or aromatic heteroatom-containing ring size 6,Rings in a Canonic Extended Smallest Set of Rings
189,>= 2 unsaturated non-aromatic carbon-only ring size 6,Rings in a Canonic Extended Smallest Set of Rings
190,>= 2 unsaturated non-aromatic nitrogen-containing ring size 6,Rings in a Canonic Extended Smallest Set of Rings
191,>= 2 unsaturated non-aromatic heteroatom-containing ring size 6,Rings in a Canonic Extended Smallest Set of Rings
192,>= 3 any ring size 6,Rings in a Canonic Extended Smallest Set of Rings
193,>= 3 saturated or aromatic carbon-only ring size 6,Rings in a Canonic Extended Smallest Set of Rings
194,>= 3 saturated or aromatic nitrogen-containing ring size 6,Rings in a Canonic Extended Smallest Set of Rings
195,>= 3 saturated or aromatic heteroatom-containing ring size 6,Rings in a Canonic Extended Smallest Set of Rings
196,>= 3 unsaturated non-aromatic carbon-only ring size 6,Rings in a Canonic Extended Smallest Set of Rings
197,>= 3 unsaturated non-aromatic nitrogen-containing ring size 6,Rings in a Canonic Extended Smallest Set of Rings
198,>= 3 unsaturated non-aromatic heteroatom-containing ring size 6,Rings in a Canonic Extended Smallest Set of Rings
199,>= 4 any ring size 6,Rings in a Canonic Extended Smallest Set of Rings
200,>= 4 saturated or aromatic carbon-only ring size 6,Rings in a Canonic Extended Smallest Set of Rings
201,>= 4 saturated or aromatic nitrogen-containing ring size 6,Rings in a Canonic Extended Smallest Set of Rings
202,>= 4 saturated or aromatic heteroatom-containing ring size 6,Rings in a Canonic Extended Smallest Set of Rings
203,>= 4 unsaturated non-aromatic carbon-only ring size 6,Rings in a Canonic Extended Smallest Set of Rings
204,>= 4 unsaturated non-aromatic nitrogen-containing ring size 6,Rings in a Canonic Extended Smallest Set of Rings
205,>= 4 unsaturated non-aromatic heteroatom-containing ring size 6,Rings in a Canonic Extended Smallest Set of Rings
206,>= 5 any ring size 6,Rings in a Canonic Extended Smallest Set of Rings
207,>= 5 saturated or aromatic carbon-only ring size 6,Rings in a Canonic Extended Smallest Set of Rings
208,>= 5 saturated or aromatic nitrogen-containing ring size 6,Rings in a Canonic Extended Smallest Set of Rings
209,>= 5 saturated or aromatic heteroatom-containing ring size 6,Rings in a Canonic Extended Smallest Set of Rings
210,>= 5 unsaturated non-aromatic carbon-only ring size 6,Rings in a Canonic Extended Smallest Set of Rings
